Lugar,Torneo,Serie,Superficie,Ganador,Finalista
Brisbane,Brisbane International,ATP250,Rápida,Kyrgios N.,Harrison R.
Doha,Qatar Exxon Mobil Open,ATP250,Rápida,Monfils G.,Rublev A.
Pune,Tata Open,ATP250,Rápida,Simon G.,Anderson K.
Auckland,ASB Classic,ATP250,Rápida,Bautista Agut R.,Del Potro J.M.
Sydney,Sydney International,ATP250,Rápida,Medvedev D.,De Minaur A.
Melbourne,Australian Open,Grand Slam,Rápida,Federer R.,Cilic M.
Montpellier,Open Sud de France,ATP250,Rápida,Pouille L.,Gasquet R.
Quito,Ecuador Open,ATP250,Tierra,Carballes Baena R.,Ramos-Vinolas A.
Sofia,Garanti Koza Sofia Open,ATP250,Rápida,Basic M.,Copil M.
Buenos Aires,Argentina Open,ATP250,Tierra,Thiem D.,Bedene A.
New York,New York Open,ATP250,Rápida,Anderson K.,Querrey S.
Rotterdam,ABN AMRO World Tennis Tournament,ATP500,Rápida,Federer R.,Dimitrov G.
Delray Beach,Delray Beach Open,ATP250,Rápida,Tiafoe F.,Gojowczyk P.
Marseille,Open 13,ATP250,Rápida,Khachanov K.,Pouille L.
Rio de Janeiro,Rio Open,ATP500,Tierra,Schwartzman D.,Verdasco F.
Acapulco,Abierto Mexicano,ATP500,Rápida,Del Potro J.M.,Anderson K.
Dubai,Dubai Tennis Championships,ATP500,Rápida,Bautista Agut R.,Pouille L.
Sao Paulo,Brasil Open,ATP250,Tierra,Fognini F.,Jarry N.
Indian Wells,BNP Paribas Open,Masters 1000,Rápida,Del Potro J.M.,Federer R.
Miami,Sony Ericsson Open,Masters 1000,Rápida,Isner J.,Zverev A.
Houston,U.S. Men's Clay Court Championships,ATP250,Tierra,Johnson S.,Sandgren T.
Marrakech,Grand Prix Hassan II,ATP250,Tierra,Andujar P.,Edmund K.
Monte Carlo,Monte Carlo Masters,Masters 1000,Tierra,Nadal R.,Nishikori K.
Barcelona,Open Banco Sabadell ,ATP500,Tierra,Nadal R.,Tsitsipas S.
Budapest,Gazprom Hungarian Open,ATP250,Tierra,Cecchinato M.,Millman J.
Estoril,Millennium Estoril Open,ATP250,Tierra,Sousa J.,Tiafoe F.
Istanbul,Istanbul Open,ATP250,Tierra,Daniel T.,Jaziri M.
Munich,BMW Open,ATP250,Tierra,Zverev A.,Kohlschreiber P.
Madrid,Mutua Madrid Open,Masters 1000,Tierra,Zverev A.,Thiem D.
Rome,Internazionali BNL d'Italia,Masters 1000,Tierra,Nadal R.,Zverev A.
Geneva,Geneva Open,ATP250,Tierra,Fucsovics M.,Gojowczyk P.
Lyon,Lyon Open,ATP250,Tierra,Thiem D.,Simon G.
Paris,French Open,Grand Slam,Tierra,Nadal R.,Thiem D.
's-Hertogenbosch,Ricoh Open,ATP250,Césped,Gasquet R.,Chardy J.
Stuttgart,Mercedes Cup,ATP250,Césped,Federer R.,Raonic M.
Halle,Gerry Weber Open,ATP500,Césped,Coric B.,Federer R.
Queens Club,AEGON Championships,ATP500,Césped,Cilic M.,Djokovic N.
Antalya,Antalya Open,ATP250,Césped,Dzumhur D.,Mannarino A.
Eastbourne,Eastbourne International,ATP250,Césped,Zverev M.,Lacko L.
London,Wimbledon,Grand Slam,Césped,Djokovic N.,Anderson K.
Bastad,SkiStar Swedish Open,ATP250,Tierra,Fognini F.,Gasquet R.
Newport,Hall of Fame Championships,ATP250,Césped,Cecchinato M.,Pella G.
Umag,Croatia Open,ATP250,Tierra,Johnson S.,Ramanathan R.
Atlanta,BB&T Atlanta Open,ATP250,Rápida,Isner J.,Harrison R.
Gstaad,Suisse Open Gstaad,ATP250,Tierra,Berrettini M.,Bautista Agut R.
Hamburg,German Tennis Championships,ATP500,Tierra,Basilashvili N.,Mayer L.
Kitzbuhel,Generali Open,ATP250,Tierra,Klizan M.,Istomin D.
Los Cabos,Abierto Mexicano Mifel,ATP250,Rápida,Fognini F.,Del Potro J.M.
Washington,Citi Open,ATP500,Rápida,Zverev A.,De Minaur A.
Toronto,Rogers Masters,Masters 1000,Rápida,Nadal R.,Tsitsipas S.
Cincinnati,Western & Southern Financial Group Masters,Masters 1000,Rápida,Djokovic N.,Federer R.
Winston-Salem,Winston-Salem Open at Wake Forest University,ATP250,Rápida,Medvedev D.,Johnson S.
New York,US Open,Grand Slam,Rápida,Djokovic N.,Del Potro J.M.
Metz,Open de Moselle,ATP250,Rápida,Simon G.,Bachinger M.
St. Petersburg,St. Petersburg Open,ATP250,Rápida,Thiem D.,Klizan M.
Chengdu,Chengdu Open,ATP250,Rápida,Tomic B.,Fognini F.
Shenzhen,Shenzhen Open,ATP250,Rápida,Nishioka Y.,Herbert P.H.
Beijing,China Open,ATP500,Rápida,Basilashvili N.,Del Potro J.M.
Tokyo,Rakuten Japan Open Tennis Championships,ATP500,Rápida,Medvedev D.,Nishikori K.
Shanghai,Shanghai Masters,Masters 1000,Rápida,Djokovic N.,Coric B.
Antwerp,European Open,ATP250,Rápida,Edmund K.,Monfils G.
Moscow,Kremlin Cup,ATP250,Rápida,Khachanov K.,Mannarino A.
Stockholm,Stockholm Open,ATP250,Rápida,Tsitsipas S.,Gulbis E.
Basel,Swiss Indoors,ATP500,Rápida,Federer R.,Copil M.
Vienna,Erste Bank Open,ATP500,Rápida,Anderson K.,Nishikori K.
Paris,BNP Paribas Masters,Masters 1000,Rápida,Khachanov K.,Djokovic N.
London,Masters Cup,Masters Cup,Rápida,Zverev A.,Djokovic N.
