report_date,location,location_type,data_field,data_field_code,value,unit
02/07/2016,Brazil-Pernambuco,state,microcephaly_not,BR0003,1173,cases
02/07/2016,Brazil-Bahia,state,microcephaly_under_investigation,BR0001,659,cases
02/07/2016,Brazil-Pernambuco,state,microcephaly_under_investigation,BR0001,489,cases
02/07/2016,Brazil-Paraiba,state,microcephaly_not,BR0003,479,cases
02/07/2016,Brazil-Pernambuco,state,microcephaly_confirmed,BR0002,367,cases
02/07/2016,Brazil-Sao_Paulo,state,microcephaly_under_investigation,BR0001,290,cases
02/07/2016,Brazil-Rio_de_Janeiro,state,microcephaly_under_investigation,BR0001,286,cases
02/07/2016,Brazil-Bahia,state,microcephaly_confirmed,BR0002,265,cases
02/07/2016,Brazil-Paraiba,state,microcephaly_under_investigation,BR0001,262,cases
02/07/2016,Brazil-Rio_Grande_do_Norte,state,microcephaly_under_investigation,BR0001,261,cases
02/07/2016,Brazil-Bahia,state,microcephaly_not,BR0003,251,cases
02/07/2016,Brazil-Ceara,state,microcephaly_not,BR0003,221,cases
02/07/2016,Brazil-Bahia,state,municipality_microcephaly_suspected,BR0008,184,municipalities
02/07/2016,Brazil-Alagoas,state,microcephaly_not,BR0003,181,cases
02/07/2016,Brazil-Sao_Paulo,state,microcephaly_not,BR0003,179,cases
02/07/2016,Brazil-Pernambuco,state,municipality_microcephaly_suspected,BR0008,179,municipalities
02/07/2016,Brazil-Ceara,state,microcephaly_under_investigation,BR0001,175,cases
02/07/2016,Brazil-Rio_de_Janeiro,state,microcephaly_not,BR0003,168,cases
02/07/2016,Brazil-Paraiba,state,microcephaly_confirmed,BR0002,148,cases
02/07/2016,Brazil-Paraiba,state,municipality_microcephaly_suspected,BR0008,135,municipalities
02/07/2016,Brazil-Maranhao,state,microcephaly_confirmed,BR0002,131,cases
02/07/2016,Brazil-Ceara,state,microcephaly_confirmed,BR0002,125,cases
02/07/2016,Brazil-Mato_Grosso,state,microcephaly_not,BR0003,120,cases
02/07/2016,Brazil-Sao_Paulo,state,municipality_microcephaly_suspected,BR0008,118,municipalities
02/07/2016,Brazil-Sergipe,state,microcephaly_confirmed,BR0002,114,cases
02/07/2016,Brazil-Rio_Grande_do_Norte,state,microcephaly_confirmed,BR0002,113,cases
02/07/2016,Brazil-Ceara,state,municipality_microcephaly_suspected,BR0008,107,municipalities
02/07/2016,Brazil-Pernambuco,state,municipality_microcephaly,BR0004,103,municipalities
02/07/2016,Brazil-Maranhao,state,municipality_microcephaly_suspected,BR0008,91,municipalities
02/07/2016,Brazil-Piaui,state,microcephaly_confirmed,BR0002,89,cases
02/07/2016,Brazil-Maranhao,state,microcephaly_under_investigation,BR0001,89,cases
02/07/2016,Brazil-Mato_Grosso,state,microcephaly_under_investigation,BR0001,89,cases
02/07/2016,Brazil-Tocantins,state,microcephaly_not,BR0003,88,cases
02/07/2016,Brazil-Rio_Grande_do_Norte,state,municipality_microcephaly_suspected,BR0008,86,municipalities
02/07/2016,Brazil-Espirito_Santo,state,microcephaly_under_investigation,BR0001,85,cases
02/07/2016,Brazil-Rio_de_Janeiro,state,microcephaly_confirmed,BR0002,83,cases
02/07/2016,Brazil-Goias,state,microcephaly_not,BR0003,81,cases
02/07/2016,Brazil-Alagoas,state,microcephaly_confirmed,BR0002,77,cases
02/07/2016,Brazil-Sergipe,state,microcephaly_under_investigation,BR0001,74,cases
02/07/2016,Brazil-Piaui,state,microcephaly_not,BR0003,73,cases
02/07/2016,Brazil-Alagoas,state,municipality_microcephaly_suspected,BR0008,73,municipalities
02/07/2016,Brazil-Pernambuco,state,microcephaly_fatal_under_investigation,BR0005,71,cases
02/07/2016,Brazil-Piaui,state,municipality_microcephaly_suspected,BR0008,70,municipalities
02/07/2016,Brazil-Alagoas,state,microcephaly_under_investigation,BR0001,67,cases
02/07/2016,Brazil-Rio_Grande_do_Norte,state,microcephaly_not,BR0003,66,cases
02/07/2016,Brazil-Minas_Gerais,state,microcephaly_under_investigation,BR0001,64,cases
02/07/2016,Brazil-Bahia,state,municipality_microcephaly,BR0004,63,municipalities
02/07/2016,Brazil-Maranhao,state,microcephaly_not,BR0003,62,cases
02/07/2016,Brazil-Maranhao,state,municipality_microcephaly,BR0004,62,municipalities
02/07/2016,Brazil-Espirito_Santo,state,microcephaly_not,BR0003,61,cases
02/07/2016,Brazil-Rio_Grande_do_Sul,state,microcephaly_not,BR0003,61,cases
02/07/2016,Brazil-Paraiba,state,municipality_microcephaly,BR0004,60,municipalities
02/07/2016,Brazil-Minas_Gerais,state,municipality_microcephaly_suspected,BR0008,60,municipalities
02/07/2016,Brazil-Tocantins,state,microcephaly_under_investigation,BR0001,59,cases
02/07/2016,Brazil-Minas_Gerais,state,microcephaly_not,BR0003,55,cases
02/07/2016,Brazil-Sergipe,state,municipality_microcephaly_suspected,BR0008,55,municipalities
02/07/2016,Brazil-Tocantins,state,municipality_microcephaly_suspected,BR0008,55,municipalities
02/07/2016,Brazil-Sergipe,state,microcephaly_not,BR0003,54,cases
02/07/2016,Brazil-Goias,state,microcephaly_under_investigation,BR0001,50,cases
02/07/2016,Brazil-Ceara,state,municipality_microcephaly,BR0004,50,municipalities
02/07/2016,Brazil-Rio_de_Janeiro,state,municipality_microcephaly_suspected,BR0008,50,municipalities
02/07/2016,Brazil-Para,state,microcephaly_under_investigation,BR0001,45,cases
02/07/2016,Brazil-Rio_Grande_do_Norte,state,municipality_microcephaly,BR0004,43,municipalities
02/07/2016,Brazil-Rio_Grande_do_Sul,state,municipality_microcephaly_suspected,BR0008,43,municipalities
02/07/2016,Brazil-Sergipe,state,municipality_microcephaly,BR0004,40,municipalities
02/07/2016,Brazil-Mato_Grosso,state,municipality_microcephaly_suspected,BR0008,40,municipalities
02/07/2016,Brazil-Distrito_Federal,state,microcephaly_not,BR0003,39,cases
02/07/2016,Brazil-Piaui,state,municipality_microcephaly,BR0004,38,municipalities
02/07/2016,Brazil-Alagoas,state,municipality_microcephaly,BR0004,33,municipalities
02/07/2016,Brazil-Goias,state,municipality_microcephaly_suspected,BR0008,33,municipalities
02/07/2016,Brazil-Bahia,state,microcephaly_fatal_under_investigation,BR0005,33,cases
02/07/2016,Brazil-Mato_Grosso,state,microcephaly_confirmed,BR0002,31,cases
02/07/2016,Brazil-Parana,state,microcephaly_not,BR0003,31,cases
02/07/2016,Brazil-Para,state,municipality_microcephaly_suspected,BR0008,30,municipalities
02/07/2016,Brazil-Rio_Grande_do_Sul,state,microcephaly_under_investigation,BR0001,29,cases
02/07/2016,Brazil-Espirito_Santo,state,municipality_microcephaly_suspected,BR0008,28,municipalities
02/07/2016,Brazil-Acre,state,microcephaly_not,BR0003,27,cases
02/07/2016,Brazil-Parana,state,municipality_microcephaly_suspected,BR0008,26,municipalities
02/07/2016,Brazil-Ceara,state,microcephaly_fatal_confirmed,BR0006,21,cases
02/07/2016,Brazil-Tocantins,state,microcephaly_confirmed,BR0002,17,cases
02/07/2016,Brazil-Paraiba,state,microcephaly_fatal_confirmed,BR0006,17,cases
02/07/2016,Brazil-Espirito_Santo,state,microcephaly_confirmed,BR0002,14,cases
02/07/2016,Brazil-Goias,state,microcephaly_confirmed,BR0002,14,cases
02/07/2016,Brazil-Mato_Grosso_do_Sul,state,microcephaly_not,BR0003,14,cases
02/07/2016,Brazil-Piaui,state,microcephaly_under_investigation,BR0001,14,cases
02/07/2016,Brazil-Ceara,state,microcephaly_fatal_under_investigation,BR0005,14,cases
02/07/2016,Brazil-Rio_de_Janeiro,state,microcephaly_fatal_under_investigation,BR0005,14,cases
02/07/2016,Brazil-Rio_Grande_do_Norte,state,microcephaly_fatal_confirmed,BR0006,13,cases
02/07/2016,Brazil-Amazonas,state,microcephaly_under_investigation,BR0001,12,cases
02/07/2016,Brazil-Goias,state,municipality_microcephaly,BR0004,12,municipalities
02/07/2016,Brazil-Roraima,state,microcephaly_not,BR0003,11,cases
02/07/2016,Brazil-Acre,state,microcephaly_under_investigation,BR0001,11,cases
02/07/2016,Brazil-Rio_de_Janeiro,state,municipality_microcephaly,BR0004,11,municipalities
02/07/2016,Brazil-Tocantins,state,municipality_microcephaly,BR0004,11,municipalities
02/07/2016,Brazil-Mato_Grosso_do_Sul,state,municipality_microcephaly_suspected,BR0008,11,municipalities
02/07/2016,Brazil-Roraima,state,microcephaly_confirmed,BR0002,10,cases
02/07/2016,Brazil-Sao_Paulo,state,microcephaly_confirmed,BR0002,10,cases
02/07/2016,Brazil-Mato_Grosso,state,municipality_microcephaly,BR0004,10,municipalities
02/07/2016,Brazil-Sao_Paulo,state,municipality_microcephaly,BR0004,10,municipalities
02/07/2016,Brazil-Espirito_Santo,state,municipality_microcephaly,BR0004,9,municipalities
02/07/2016,Brazil-Acre,state,municipality_microcephaly_suspected,BR0008,9,municipalities
02/07/2016,Brazil-Tocantins,state,microcephaly_fatal_confirmed,BR0006,9,cases
02/07/2016,Brazil-Amazonas,state,microcephaly_confirmed,BR0002,8,cases
02/07/2016,Brazil-Santa_Catarina,state,municipality_microcephaly_suspected,BR0008,8,municipalities
02/07/2016,Brazil-Paraiba,state,microcephaly_fatal_not,BR0007,8,cases
02/07/2016,Brazil-Mato_Grosso,state,microcephaly_fatal_under_investigation,BR0005,8,cases
02/07/2016,Brazil-Amapa,state,microcephaly_confirmed,BR0002,7,cases
02/07/2016,Brazil-Rondonia,state,microcephaly_not,BR0003,7,cases
02/07/2016,Brazil-Amazonas,state,municipality_microcephaly_suspected,BR0008,7,municipalities
02/07/2016,Brazil-Rondonia,state,municipality_microcephaly_suspected,BR0008,7,municipalities
02/07/2016,Brazil-Rio_Grande_do_Sul,state,microcephaly_fatal_not,BR0007,7,cases
02/07/2016,Brazil-Rio_de_Janeiro,state,microcephaly_fatal_not,BR0007,7,cases
02/07/2016,Brazil-Maranhao,state,microcephaly_fatal_under_investigation,BR0005,7,cases
02/07/2016,Brazil-Distrito_Federal,state,microcephaly_confirmed,BR0002,6,cases
02/07/2016,Brazil-Rio_Grande_do_Sul,state,microcephaly_confirmed,BR0002,6,cases
02/07/2016,Brazil-Rio_Grande_do_Sul,state,municipality_microcephaly,BR0004,6,municipalities
02/07/2016,Brazil-Roraima,state,municipality_microcephaly_suspected,BR0008,6,municipalities
02/07/2016,Brazil-Rio_de_Janeiro,state,microcephaly_fatal_confirmed,BR0006,6,cases
02/07/2016,Brazil-Espirito_Santo,state,microcephaly_fatal_under_investigation,BR0005,6,cases
02/07/2016,Brazil-Rio_Grande_do_Norte,state,microcephaly_fatal_under_investigation,BR0005,6,cases
02/07/2016,Brazil-Mato_Grosso_do_Sul,state,microcephaly_confirmed,BR0002,5,cases
02/07/2016,Brazil-Rondonia,state,microcephaly_confirmed,BR0002,5,cases
02/07/2016,Brazil-Amazonas,state,microcephaly_not,BR0003,5,cases
02/07/2016,Brazil-Santa_Catarina,state,microcephaly_not,BR0003,5,cases
02/07/2016,Brazil-Rondonia,state,microcephaly_under_investigation,BR0001,5,cases
02/07/2016,Brazil-Roraima,state,microcephaly_under_investigation,BR0001,5,cases
02/07/2016,Brazil-Sergipe,state,microcephaly_fatal_confirmed,BR0006,5,cases
02/07/2016,Brazil-Piaui,state,microcephaly_fatal_not,BR0007,5,cases
02/07/2016,Brazil-Tocantins,state,microcephaly_fatal_not,BR0007,5,cases
